
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL031874          UNNAMED          6126968.45        149438.25          48084.44           258.37              0         
     AL041874          UNNAMED          1445464.59         62846.29          47238.19           137.32              0         
     AL051874          UNNAMED          2909357.86        193957.19          52354.87            90.0               0         
     AL061874          UNNAMED          4436154.34        170621.32          48753.8            176.53              0         
     AL071874          UNNAMED          1483079.77         78056.83          47991.22           133.08              0         
     AL011875          UNNAMED          1935889.97        129059.33          32886.01            90.0               0         
     AL021875          UNNAMED          6170980.76        158230.28          41179.31           247.61              0         
     AL031875          UNNAMED          5655847.65        128541.99          35031.22           258.82              0         
     AL041875          UNNAMED          1610202.11         94717.77          30032.34           101.32              0         
     AL051875          UNNAMED          2371145.4         158076.36          56029.02           91.73               0         
     AL061875          UNNAMED          2785930.77        146627.94          58061.92           114.22              0         
     AL011876          UNNAMED          1246397.23        113308.84          52447.55            61.8               0         
     AL021876          UNNAMED          5292592.74        165393.52          49458.18           193.62              0         
     AL031876          UNNAMED          2127559.71        193414.52          38951.52            66.0               0         
     AL041876          UNNAMED          3352450.2         134098.01          36203.9            155.47              0         
     AL051876          UNNAMED          3830641.08         79805.02          43887.89           301.73              0         
     AL011877          UNNAMED          3338230.79        196366.52          62202.47           106.63              0         
     AL021877          UNNAMED          2668215.79         80855.02          59166.28           203.94              0         
     AL031877          UNNAMED          3173671.86         117543.4          46692.27           159.78              0         
     AL041877          UNNAMED          7076386.25        117939.77          57500.94           373.37              0         
     AL051877          UNNAMED          2454434.59        106714.55          55238.68           143.72              0         
     AL061877          UNNAMED          3426952.25        148997.92          38408.15           138.0               0         
     AL071877          UNNAMED          3243786.64        180210.37          71516.46           113.72              0         
     AL081877          UNNAMED          3714434.43        337675.86          89880.9            68.79               0         
     AL011878          UNNAMED          1277532.11        106461.01          89880.9            76.75               0         
     AL021878          UNNAMED          4430153.12         100685.3          30658.44           269.27              0         
     AL031878          UNNAMED          2038676.84        185334.26          42679.84            61.8               0         
     AL041878          UNNAMED          3592851.91        156210.95          52119.85           155.33              0         
     AL051878          UNNAMED          5839311.18        108135.39          51779.51           339.03              0         
     AL061878          UNNAMED          2850880.59        105588.17          46786.45           163.73              0         
     AL071878          UNNAMED          6096901.65        103337.32          67676.55           380.56              0         
